TIME_NANOSECONDS_TAI,DATA_DELTA_VEL[1],DATA_DELTA_VEL[2],DATA_DELTA_VEL[3],DATA_DELTA_ANGLE[1],DATA_DELTA_ANGLE[2],DATA_DELTA_ANGLE[3]
1.60259601402926e+18,-0.18896484375,6.103515625e-05,-0.05010986328125,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601404927e+18,-0.1895751953125,-0.00152587890625,-0.04840087890625,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601406925e+18,-0.1884765625,6.103515625e-05,-0.04949951171875,0,1.9073486328125e-06,0
1.60259601408926e+18,-0.18951416015625,-0.00128173828125,-0.04925537109375,0,0,0
1.60259601410926e+18,-0.18902587890625,-0.00128173828125,-0.04754638671875,-3.814697265625e-06,0,-1.9073486328125e-06
1.60259601412925e+18,-0.1898193359375,-0.00042724609375,-0.05010986328125,0,0,-1.9073486328125e-06
1.60259601414926e+18,-0.18841552734375,-0.00048828125,-0.04864501953125,0,0,0
1.60259601416926e+18,-0.18768310546875,0.0003662109375,-0.04840087890625,0,0,0
1.60259601418927e+18,-0.1895751953125,-0.00152587890625,-0.0487060546875,1.9073486328125e-06,3.814697265625e-06,0
1.60259601420925e+18,-0.18896484375,-0.000732421875,-0.049560546875,0,3.814697265625e-06,0
1.60259601422926e+18,-0.18878173828125,6.103515625e-05,-0.04949951171875,0,0,-1.9073486328125e-06
1.60259601424926e+18,-0.18896484375,-0.0015869140625,-0.04840087890625,-1.9073486328125e-06,-1.9073486328125e-06,0
1.60259601426925e+18,-0.1895751953125,-0.00018310546875,-0.05035400390625,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601428926e+18,-0.18975830078125,-0.0009765625,-0.04840087890625,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601430926e+18,-0.1884765625,-0.00048828125,-0.0504150390625,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601432925e+18,-0.18927001953125,-0.000732421875,-0.04754638671875,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601434925e+18,-0.18792724609375,6.103515625e-05,-0.0498046875,1.9073486328125e-06,0,0
1.60259601436926e+18,-0.19012451171875,-0.00152587890625,-0.04925537109375,0,3.814697265625e-06,0
1.60259601438926e+18,-0.18817138671875,-0.00018310546875,-0.04949951171875,1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601440925e+18,-0.18927001953125,-0.00103759765625,-0.0487060546875,1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601442926e+18,-0.1884765625,-0.00042724609375,-0.04840087890625,-1.9073486328125e-06,0,0
1.60259601444926e+18,-0.18951416015625,-0.00103759765625,-0.04864501953125,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601446925e+18,-0.18768310546875,0.00091552734375,-0.0504150390625,0,0,0
1.60259601448925e+18,-0.18927001953125,-0.00103759765625,-0.04864501953125,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601450926e+18,-0.188720703125,-0.00128173828125,-0.0487060546875,0,1.9073486328125e-06,1.9073486328125e-06
1.60259601452925e+18,-0.191162109375,-0.0020751953125,-0.04949951171875,0,0,-1.9073486328125e-06
